	wt_d3._vs_TET3KO_d3._diff	wt_d3._vs_TET3KO_d3._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description	cluster
AARSD1	-0.810346834003905	1.0382383155464e-05	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1	8.0
AASS	1.29022816576432	2.05131386924214e-06	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""	8.0
ABAT	1.44775316613374	5.20115858488425e-07	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""	8.0
ABL1	-1.1031218343992	2.29804034262358e-08	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1	8.0
ABRACL	2.86669542461825	8.96736888002087e-08	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL	8.0
ACADVL	-0.72594683371911	0.0001328208484822	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""	8.0
ACAP2	13.336607050932	3.9218764622142894e-11	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""	8.0
ACD	13.9962644224848	5.18591185947568e-10	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog	8.0
ACO2	0.707428165873161	0.0001136825337282	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""	8.0
ACOT1	-0.240296833976174	0.0794286243517703	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1	8.0
ACOT8	1.02427816597954	3.00996717255595e-06	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8	8.0
ACP1	1.80582816611359	1.53425137774254e-05	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase	8.0
ACP2	-0.967271834093626	2.58514084698341e-05	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase	8.0
ACSL1	0.381678165700258	0.108072973922033	P33121	P33121;E7EPM6;B7Z3Z9;D6RER0;H0Y9Z9	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1	8.0
ACSS2	1.97372694806724	0.0269016520947049	Q9NR19	Q9NR19;F8WDJ9;B4DEH9;C9IYL0;C9J7L5;C9JXD9;F8WCJ4;C9JY31	ACSA_HUMAN	"""Acetyl-coenzyme A synthetase, cytoplasmic"""	8.0
ACTN4	-0.745046834086825	1.83780842937743e-06	H7C144	H7C144	H7C144_HUMAN	Alpha-actinin-4 (Fragment)	8.0
ACTN4	0.955228166017044	8.70424561601182e-05	K7EJH8	K7EJH8	K7EJH8_HUMAN	Alpha-actinin-4 (Fragment)	8.0
ACTN4	0.34922816595045	0.000745039828716	O43707	O43707;H7C144;F5GXS2	ACTN4_HUMAN	Alpha-actinin-4	8.0
ADCY3	0.522086856728379	0.86214381539615	O60266	O60266;A0A0A0MSC1;H7C1A6;U3KQ91;C9JLX3	ADCY3_HUMAN	Adenylate cyclase type 3	8.0
ADD3	-0.0808968340367251	0.563075132706704	Q9UEY8	Q9UEY8	ADDG_HUMAN	Gamma-adducin	8.0
ADGRG2	-2.2204460492503099e-16	1.0	Q8IZP9	Q8IZP9	AGRG2_HUMAN	Adhesion G-protein coupled receptor G2	8.0
ADH5	1.0353531660457	2.96195847939216e-05	P11766	P11766;H0YAG8	ADHX_HUMAN	Alcohol dehydrogenase class-3	8.0
ADI1	-0.647096833917278	0.0114803259371236	Q9BV57	Q9BV57;A0A0G2JQN5	MTND_HUMAN	"""1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"""	8.0
ADSS2	0.685978165830079	0.000171082150208	P30520	P30520	PURA2_HUMAN	Adenylosuccinate synthetase isozyme 2	8.0
AFAP1	0.568203166127759	0.0041314119618357	Q8N556	Q8N556	AFAP1_HUMAN	Actin filament-associated protein 1	8.0
AGAP3	-0.304296834001214	0.104560233474046	Q96P47	Q96P47;H7C4F1;E7ESL9;C9J975	AGAP3_HUMAN	"""Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"""	8.0
AGFG1	0.959703165912799	0.0078674521104442	P52594	P52594;C9J2I0;B8ZZY2	AGFG1_HUMAN	Arf-GAP domain and FG repeat-containing protein 1	8.0
AHCY	1.08635316607939	7.22948072013505e-08	P23526	P23526	SAHH_HUMAN	Adenosylhomocysteinase	8.0
AKAP11	16.8797063419382	2.03860010621097e-14	Q9UKA4	Q9UKA4	AKA11_HUMAN	A-kinase anchor protein 11	8.0
AKAP7	-12.0633885445734	1.56953514682021e-06	Q9P0M2	Q9P0M2;O43687;J3KN37	AKA7G_HUMAN	A-kinase anchor protein 7 isoform gamma	8.0
AKAP8L	0.609428166003731	0.0019220428532678	Q9ULX6	Q9ULX6;M0R010;M0QYT7;M0R1Y5;V9GZ50	AKP8L_HUMAN	A-kinase anchor protein 8-like	8.0
AKT1	-0.527096833888084	0.0092000989389119	P31749	P31749	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase	8.0
ALAD	-0.265021834168152	0.14646253511523	P13716	P13716	HEM2_HUMAN	Delta-aminolevulinic acid dehydratase	8.0
ALKBH5	-0.490171834080964	0.0048851891912181	Q6P6C2	Q6P6C2	ALKB5_HUMAN	RNA demethylase ALKBH5	8.0
AMDHD2	-0.639321833988845	0.0005468892170242	Q9Y303	Q9Y303;H3BSV9;A0A3B3IU33;H3BTZ6;H3BT49;H3BSD5	NAGA_HUMAN	N-acetylglucosamine-6-phosphate deacetylase	8.0
AMER2	3.4176279561101	0.0749197811001453	Q8N7J2	Q8N7J2	AMER2_HUMAN	APC membrane recruitment protein 2	8.0
ANGPTL2	-0.676921833963327	0.0008717616064647	Q9UKU9	Q9UKU9	ANGL2_HUMAN	Angiopoietin-related protein 2	8.0
ANXA4	-0.672496834014563	7.03145045724538e-05	P09525	P09525;B4E1S2;Q6P452	ANXA4_HUMAN	Annexin A4	8.0
ANXA5	0.563628165975551	0.0011072354245127	P08758	P08758;D6RBL5;D6RBE9	ANXA5_HUMAN	Annexin A5	8.0
AP3B2	-0.329196833994992	0.229389485192195	Q13367	Q13367;A0A5F9UJV3;A0A590UK04;A0A2R8Y2A8;A0A590UJE5	AP3B2_HUMAN	AP-3 complex subunit beta-2	8.0
APBB2	0.344615378310799	0.37016196230867	Q92870	Q92870;D6RDY3;H0YAJ5;D6RB55;D6RB00;G5E9Y1	APBB2_HUMAN	Amyloid-beta A4 precursor protein-binding family B member 2	8.0
APIP	0.499153166071675	0.0623651562253145	Q96GX9	Q96GX9	MTNB_HUMAN	Methylthioribulose-1-phosphate dehydratase	8.0
APOA1	4.44089209850063e-16	1.0	P02647	P02647;F8W696	APOA1_HUMAN	Apolipoprotein A-I	8.0
APOOL	1.03680316610183	7.14942106818392e-05	Q6UXV4	Q6UXV4;A0A087WYF7	MIC27_HUMAN	MICOS complex subunit MIC27	8.0
ARFGAP3	-0.991896834247179	2.48309550028133e-05	Q9NP61	Q9NP61;H0Y6A0	ARFG3_HUMAN	ADP-ribosylation factor GTPase-activating protein 3	8.0
ARHGAP32	-0.34764683398906	0.376606951820486	A7KAX9	A7KAX9	RHG32_HUMAN	Rho GTPase-activating protein 32	8.0
ARHGAP9	-0.561921833709128	0.0810957818057804	Q9BRR9	Q9BRR9;R4GN15	RHG09_HUMAN	Rho GTPase-activating protein 9	8.0
ARHGEF18	-0.672571834039992	0.0015477739944878	Q6ZSZ5	Q6ZSZ5;A0A087WZG4;M0QZS0;A0A590UK10;A0A3B3IPE9	ARHGI_HUMAN	Rho guanine nucleotide exchange factor 18	8.0
ARHGEF40	-1.11369683414413	9.87714745500594e-10	Q8TER5	Q8TER5	ARH40_HUMAN	Rho guanine nucleotide exchange factor 40	8.0
ARID2	0.775478165923928	2.67251920607875e-05	Q68CP9	Q68CP9;F8VWP4;F8W108;F8WCU9	ARID2_HUMAN	AT-rich interactive domain-containing protein 2	8.0
ARMCX3	0.476528165994115	0.0091259050161781	Q9UH62	Q9UH62;H3BV87	ARMX3_HUMAN	Armadillo repeat-containing X-linked protein 3	8.0
ARPC5L	1.24697816595739	0.0002670751679105	Q9BPX5	Q9BPX5	ARP5L_HUMAN	Actin-related protein 2/3 complex subunit 5-like protein	8.0
ARRB2	0.490903165961299	0.0048042863967144	P32121	P32121;K7ENA6;I3L412	ARRB2_HUMAN	Beta-arrestin-2	8.0
ARSA	-0.0867968340619285	0.674244593890413	P15289	P15289;A0A0C4DFZ2	ARSA_HUMAN	Arylsulfatase A	8.0
AS3MT	-0.54724683404249	0.0091963217170073	Q9HBK9	Q9HBK9;A0A087WVD4	AS3MT_HUMAN	Arsenite methyltransferase	8.0
ASAH1	0.813178165813831	3.61930999260799e-05	Q13510	Q13510;A0A1B0GW68;A0A1B0GTZ5;A0A1B0GUG1;A0A1B0GUA4;A0A1B0GUE3;A0A1B0GUH5;E7EMM4;A0A1B0GTM3;A0A1B0GTP7;A0A1B0GUW4;A0A1B0GV06	ASAH1_HUMAN	Acid ceramidase	8.0
ASAP2	-0.468560392384532	0.829191867465718	O43150	O43150	ASAP2_HUMAN	"""Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2"""	8.0
ASPSCR1	-0.592146833871432	4.74511550528459e-05	Q9BZE9	Q9BZE9;J3KRF7;J3KRY8	ASPC1_HUMAN	Tether containing UBX domain for GLUT4	8.0
ATAD2B	-0.411321834047413	0.0099759077596596	Q9ULI0	Q9ULI0;C9JG15	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	8.0
ATAT1	0.0878031660609153	0.700483752931984	Q5SQI0	Q5SQI0	ATAT_HUMAN	Alpha-tubulin N-acetyltransferase 1	8.0
ATF3	3.43445833896137	0.0545774349103346	P18847	P18847;Q5VTZ4;A0A0A0MRJ2	ATF3_HUMAN	Cyclic AMP-dependent transcription factor ATF-3	8.0
ATIC	0.600028165758662	3.28764873052102e-05	P31939	P31939;H7C1S2	PUR9_HUMAN	Bifunctional purine biosynthesis protein ATIC	8.0
ATP1A2	-0.993473755612566	0.568076988067778	P50993	P50993;H0Y7C1;B1AKY9	AT1A2_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-2	8.0
ATP1A3	0.337053165909044	0.124518252679747	P13637	P13637;M0R116;A0A0A0MT26;M0QXF2;A0A2R8YEY8	AT1A3_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-3	8.0
ATXN3	-0.971996834021521	1.61665588174891e-07	P54252	P54252;G3V328;D3VVH9;G3V3T0;F5H211;A0A087X1A8;G3V4F5;A0A2R8Y3X7;C9JQV6;G3V3R7;G3V390;G3V4F4;S4R399;A0A087WXY4;G3V5H3	ATX3_HUMAN	Ataxin-3	8.0
BAIAP2L2	-0.529871833644957	0.876361430318479	Q6UXY1	Q6UXY1;B0QYF0	BI2L2_HUMAN	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2	8.0
BANP	-0.462971833979879	0.0112056965392874	Q8N9N5	Q8N9N5	BANP_HUMAN	Protein BANP	8.0
BASP1	0.772303166062905	0.0002758896427156	P80723	P80723	BASP1_HUMAN	Brain acid soluble protein 1	8.0
BBS2	-0.0752955151724271	0.982232664513432	Q9BXC9	Q9BXC9;H3BRL0;J3QLW0	BBS2_HUMAN	Bardet-Biedl syndrome 2 protein	8.0
BCAR3	0.182276369651121	0.950866808466601	O75815	O75815	BCAR3_HUMAN	Breast cancer anti-estrogen resistance protein 3	8.0
BCAT1	0.960028166002608	1.96854939133215e-08	P54687	P54687	BCAT1_HUMAN	"""Branched-chain-amino-acid aminotransferase, cytosolic"""	8.0
