	wt_d0._vs_TET3KO_d0._CI.L	wt_d0._vs_TET3KO_d0._CI.R	wt_d0._vs_TET3KO_d0._diff	wt_d0._vs_TET3KO_d0._p.adj	wt_d0._vs_TET3KO_d0._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
A2M	1.27059475064088	9.14010271710246	5.20534873387167	0.427092990866326	0.0106396153016605	P01023	P01023	A2MG_HUMAN	Alpha-2-macroglobulin
AAAS	-1.40713757335342	-0.508294555590483	-0.957716064471953	0.0889758970078161	9.09347374849504e-05	Q9NRG9	Q9NRG9	AAAS_HUMAN	Aladin
AACS	-0.603763035540221	0.257030906400171	-0.173366064570025	0.793364277320649	0.421659498642003	Q86V21	Q86V21	AACS_HUMAN	Acetoacetyl-CoA synthetase
AADAT	-0.7013860428408	0.701386042840801	4.44089209850063e-16	0.857178666832875	0.999999999999999	Q8N5Z0	Q8N5Z0	AADAT_HUMAN	"""Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"""
AAGAB	-0.799356787254539	0.591274658514686	-0.104041064369927	0.838010853814154	0.764628747300564	Q6PD74	Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34
AAK1	0.732323451132658	3.4724528175584	2.10238813434553	0.309115406680514	0.003402442145297	A0A096LP25	Q6ZSR9;A0A096LP25;A0A096LNZ0	A0A096LP25_HUMAN	AP2-associated protein kinase 1 (Fragment)
AAK1	-0.248322840148541	0.287540710337334	0.0196089350943964	0.848369365554701	0.883527981057039	Q2M2I8	Q2M2I8	AAK1_HUMAN	AP2-associated protein kinase 1
AAMDC	-0.61348098804291	1.55594885901425	0.471233935485671	0.786465580046349	0.386414384061667	Q9H7C9	Q9H7C9;E9PNP3;E9PR47	AAMDC_HUMAN	Mth938 domain-containing protein
AAMP	-0.425141132322096	0.341209002898906	-0.0419660647115947	0.843601457532463	0.826494192736852	Q13685	Q13685;C9JTS3;C9JG97;C9JEH3	AAMP_HUMAN	Angio-associated migratory cell protein
AAR2	-3.15378001122582	5.73615255493573	1.29118627185495	0.815342751294255	0.561604598597373	Q9Y312	Q9Y312;A2A2Q9	AAR2_HUMAN	Protein AAR2 homolog
AARS1	-0.0641311732058089	0.399799043828182	0.167833935311187	0.706181019984827	0.152079484848429	P49588	P49588	SYAC_HUMAN	"""Alanine--tRNA ligase, cytoplasmic"""
AARS2	-0.716339114489887	-0.115993014527423	-0.416166064508655	0.391391194974484	0.0076299156125363	Q5JTZ9	Q5JTZ9	SYAM_HUMAN	"""Alanine--tRNA ligase, mitochondrial"""
AARSD1	-0.706565582641238	-0.047516546722344	-0.377041064681791	0.524290398581137	0.0258417407477084	Q9BTE6	Q9BTE6;C9J5N1;L7N2F4;K7EQ85	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1
AASDH	5.75729355647284	18.3579989234206	12.0576462399467	0.147139065183436	0.0003604001039327	Q4L235	Q4L235;R4GNB1	ACSF4_HUMAN	Beta-alanine-activating enzyme
AASDHPPT	0.441542020233422	1.12077585061944	0.781158935426433	0.0575728149979321	3.00551454104294e-05	Q9NRN7	Q9NRN7	ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	-0.0530058231746545	0.903673694102015	0.42533393546368	0.644037575410272	0.0800640901693152	Q9UDR5	Q9UDR5;F8WAH1	AASS_HUMAN	"""Alpha-aminoadipic semialdehyde synthase, mitochondrial"""
